EAR,MOR,NLR,State
"0.1257504325379325","0.45099635003032984","0.9094710256343528","Normal"
"0.11378451685343327","0.45993376017932236","0.90640020867714","Normal"
"0.11378451685343327","0.43367274021570573","0.9094710256343528","Normal"
"0.1374044989139422","0.4781501438892639","0.9523986544646218","Normal"
"0.118727750785236","0.45482841097286475","0.9523986544646218","Normal"
"0.12582235399381778","0.44435043606516994","0.9094710256343528","Normal"
"0.1099076171217786","0.471587299294715","0.9523986544646218","Normal"
"0.15023319851027156","0.48276532682254963","0.90640020867714","Normal"
"0.14091321592927247","0.4927598558499971","0.90640020867714","Normal"
"0.1257504325379325","0.47035238807857355","0.866561808545553","Normal"
"0.1515881920061667","0.4658153372241469","0.9523986544646218","Normal"
"0.128269798195867","0.4927598558499971","0.9523986544646218","Normal"
"0.10751929690700207","0.454784059224473","0.9094710256343528","Normal"
"0.11944485329947568","0.45993376017932236","0.90640020867714","Normal"
"0.10462781686008917","0.4661762864051543","0.9094710256343528","Normal"
"0.14770328387970666","0.48226200294930094","0.9094710256343528","Normal"
"0.1180934770201846","0.4519511353635561","0.9494666865391241","Normal"
"0.12206606947834713","0.4371303121440502","0.9523986544646218","Normal"
"0.14588075383593224","0.4456269879781647","0.9094710256343528","Eye Closed"
"0.11944485329947568","0.45855742614712625","0.9523986544646218","Eye Closed"
"0.2129106099229558","0.4922060623669714","0.957265311877235","Eye Closed"
"0.13271944150336193","0.4576026408139001","0.9094710256343528","Eye Closed"
"0.15895181753573656","0.4693751837949956","0.9523986544646218","Eye Closed"
"0.16106887700552233","0.4693246382234465","0.9523986544646218","Eye Closed"
"0.14906789533153803","0.4695299654632199","0.9094710256343528","Eye Closed"
"0.12696642657793858","0.47340356121706967","0.9523986544646218","Eye Closed"
"0.12382236077536424","0.4927598558499971","0.957265311877235","Eye Closed"
"0.14178770218161857","0.4715033615706664","0.9523986544646218","Eye Closed"
"0.16240332354728815","0.4671804576970644","0.9094710256343528","Eye Closed"
"0.15673658329793871","0.45956159743903646","0.9523986544646218","Eye Closed"
"0.16453560466237377","0.48445221435722424","0.9523986544646218","Eye Closed"
"0.16728296277605717","0.45855742614712625","0.90640020867714","Eye Closed"
"0.18077966699211456","0.4814997847601037","0.9094710256343528","Eye Closed"
"0.15207386447544946","0.4826601822289565","0.9094710256343528","Eye Closed"
"0.16660716824166216","0.47073328943025916","0.9523986544646218","Eye Closed"
"0.15757856102897289","0.4448833943252789","0.9094710256343528","Eye Closed"
"0.19818583607017515","0.5126440936116022","0.8633383808515066","Eye Closed"
"0.16329206725501938","0.4576026408139001","0.9494666865391241","Eye Closed"
"0.19165024389731145","0.4269412647464501","1.1217683861955008","Eye Closed"
"0.19096819103446605","0.42095728919609765","1.2941101922135834","Eye Closed"
"0.20647519614955104","0.4157024861959714","1.2941101922135834","Eye Closed"
"0.2091242154793788","0.4033690728853537","1.382309903438799","Eye Closed"
"0.1985946658624727","0.40396904936575156","1.3802914405901903","Eye Closed"
"0.2053017023700264","0.4249252798122236","1.3802914405901903","Eye Closed"
"0.20566800213461278","0.4102457859103246","1.3802914405901903","Eye Closed"
"0.1923128304116538","0.40393584869802407","1.4233841030560632","Eye Closed"
"0.1771595891186546","0.4091836895059078","1.4658440861013713","Eye Closed"
"0.20420411776551617","0.41916017545516965","1.466477964654718","Eye Closed"
"0.20357823022565935","0.3981797495114418","1.466477964654718","Eye Closed"
"0.19190785178208433","0.39719271718350063","1.4233841030560632","Eye Closed"
"0.18669966469346272","0.402893625573821","1.466477964654718","Eye Closed"
"0.21171489384639347","0.429439616825702","1.466477964654718","Eye Closed"
"0.21609540511937853","0.4401997792177279","1.5095729226910284","Eye Closed"
"0.19288065160013518","0.39596391829471533","1.5095729226910284","Eye Closed"
"0.18043705919996805","0.4201646062526525","1.5526688858687745","Eye Closed"
"0.18743353981102412","0.4025865635002146","1.5526688858687745","Eye Closed"
"0.21012093189916364","0.39422700989626985","1.5526688858687745","Eye Closed"
"0.2112430636205479","0.3963183014201469","1.5526688858687745","Eye Closed"
"0.2383086552176895","0.409676252214564","1.5526688858687745","Eye Closed"
"0.21171489384639347","0.3938256556229158","1.6388635104693603","Eye Closed"
"0.19921703075769004","0.40942685778932264","1.6388635104693603","Eye Closed"
"0.199338301715786","0.3890466212719264","1.595765772752063","Eye Closed"
"0.199338301715786","0.4012356437295502","1.6388635104693603","Eye Closed"
"0.20601993531733953","0.40128309395089784","1.6388635104693603","Eye Closed"
"0.19167346832089746","0.38922635443612785","1.595765772752063","Eye Closed"
"0.18743353981102412","0.395243400529425","1.6388635104693603","Eye Closed"
"0.22215411258904036","0.4205238910541618","1.595765772752063","Eye Closed"
"0.20765996776617127","0.40465695135202207","1.595765772752063","Eye Closed"
"0.20357823022565935","0.40140579011924854","1.6388635104693603","Eye Closed"
"0.20324057942932158","0.38917256883387186","1.595765772752063","Eye Closed"
"0.19921703075769004","0.41916017545516965","1.595765772752063","Eye Closed"
"0.19921703075769004","0.38668794597902356","1.6388635104693603","Eye Closed"
"0.2149910617692935","0.4041850991611085","1.5526688858687745","Eye Closed"
"0.19860261014976469","0.4192087825810536","1.5975120061099473","Eye Closed"
"0.2053792208141486","0.4309712941574463","1.5526688858687745","Eye Closed"
"0.20928149852768418","0.42361888829588096","1.5526688858687745","Eye Closed"
"0.22116039965277093","0.44917286535146533","1.5526688858687745","Eye Closed"
"0.199338301715786","0.4408658519154631","1.5526688858687745","Eye Closed"
"0.20357823022565935","0.4225390976409204","1.5526688858687745","Eye Closed"
"0.21242186735379537","0.4192087825810536","1.5526688858687745","Eye Closed"
"0.20469544457292888","0.42453535155327693","1.5526688858687745","Eye Closed"
"0.22584929342892945","0.4041850991611085","1.5114187431351946","Eye Closed"
"0.21415162839781404","0.411694388499094","1.5095729226910284","Eye Closed"
"0.2296289504196687","0.4501585381956795","1.466477964654718","Eye Closed"
"0.24502908487519687","0.42666946479315515","1.3802914405901903","Eye Closed"
"0.23376381967850585","0.4483667603414902","1.3372000931870034","Eye Closed"
"0.20735192364743527","0.4217798137777292","1.2933918406776805","Eye Closed"
"0.23269224698616692","0.42916689387165535","1.336504902033603","Eye Closed"
"0.21188700015931583","0.4185414129104091","1.2941101922135834","Eye Closed"
"0.24744862476926166","0.41289042242700763","1.2941101922135834","Eye Closed"
"0.20297212846589668","0.40257791051528313","1.1648507730263453","Eye Closed"
